user_id,age,gender,occupation,zip_code
280,30,0,10,22903
281,15,0,18,06059
283,28,1,14,55305
284,40,1,6,92629
285,25,1,14,53713
286,27,1,18,15217
287,21,1,16,31211
288,34,1,11,23226
289,11,1,12,94619
291,19,1,18,44106
292,35,0,14,94703
293,24,1,20,60804
294,34,1,19,92110
295,31,1,3,50325
298,44,1,6,01581
299,29,1,2,63108
300,26,0,14,55106
301,24,1,18,55439
302,42,1,3,77904
303,19,1,18,14853
304,22,0,18,71701
305,23,1,14,94086
306,45,1,13,73132
307,25,1,18,55454
308,60,1,15,95076
309,40,1,17,70802
310,37,1,3,91711
311,32,1,19,73071
312,48,1,13,02110
313,41,1,11,60035
314,20,0,18,08043
316,43,0,13,77009
317,22,1,0,13210
318,65,1,15,06518
319,38,1,14,22030
320,19,1,18,24060
321,49,0,3,55413
322,20,1,18,50613
323,21,1,18,19149
324,21,0,18,02176
325,48,1,19,02139
327,22,1,18,11101
330,35,0,3,33884
331,33,1,5,91344
332,20,1,18,40504
333,47,1,13,V0R2M
334,32,1,10,30002
335,45,1,6,33775
336,23,1,16,42101
337,37,1,17,10522
338,39,0,10,59717
339,35,1,9,37901
340,46,1,4,80123
342,25,0,13,98006
343,43,1,4,30093
344,30,0,10,94117
346,34,1,13,76059
350,32,1,18,97301
352,37,0,14,55105
353,25,1,17,28480
354,29,0,10,48197
356,32,0,8,92688
357,26,1,6,98133
358,40,1,3,10022
359,22,1,18,61801
360,51,1,13,98027
362,35,0,8,85233
363,20,1,18,87501
365,29,1,9,20009
366,20,0,18,50670
368,18,1,18,92113
369,24,1,18,91335
370,52,1,20,08534
371,36,1,4,99206
372,25,0,18,66046
374,36,1,6,78746
376,28,0,13,10010
377,22,1,18,18015
378,35,1,18,02859
380,32,1,4,55117
382,45,1,4,01824
383,42,1,0,75204
384,52,1,14,45218
385,36,1,20,10003
386,36,1,16,43221
387,33,1,5,37412
388,31,1,13,36106
390,42,0,20,85016
391,23,1,18,84604
392,52,1,20,59801
393,19,1,18,83686
397,17,1,18,27514
398,40,1,13,60008
399,25,1,13,92374
400,33,0,0,78213
401,46,0,7,84107
402,30,1,4,95129
403,37,1,13,06811
404,29,0,14,55108
405,22,0,7,10019
406,52,1,3,93109
407,29,1,4,03261
408,23,1,18,61755
410,30,0,1,94025
412,25,1,3,15222
413,55,1,3,78212
414,24,1,14,38115
415,39,1,3,85711
417,27,0,13,48103
418,55,0,12,21206
420,53,1,3,02140
421,38,0,14,55105
422,26,1,5,94533
423,64,1,13,91606
425,19,1,18,58644
426,55,1,3,01602
427,51,1,2,85258
428,28,1,18,55414
429,27,1,18,29205
430,38,1,17,98199
431,24,1,11,92629
433,27,1,1,11211
434,16,0,18,49705
435,24,1,4,60007
436,30,0,0,17345
437,27,0,13,20009
439,23,0,0,20817
440,30,1,13,48076
441,50,1,19,55013
442,22,1,18,85282
443,35,1,16,33308
444,51,0,9,53202
445,21,1,20,92653
446,57,1,3,60201
447,30,1,0,55113
448,23,1,5,10021
449,23,1,10,55021
450,35,0,3,11758
451,16,1,18,48446
452,35,1,0,28018
454,57,1,13,97330
456,24,1,19,31820
457,33,0,16,30011
458,47,1,19,Y1A6B
459,22,1,18,29201
460,44,0,13,60630
461,15,1,18,98102
462,19,0,18,02918
463,48,0,7,75218
464,60,1,20,94583
465,32,1,13,05001
466,22,1,18,90804
467,29,1,4,91201
468,28,1,4,02341
469,60,1,3,78628
470,24,1,14,10021
471,10,1,18,77459
472,24,1,18,87544
474,51,1,6,93711
475,30,1,14,75230
476,28,1,18,60440
478,29,1,13,10019
479,30,1,3,55409
480,57,1,15,98257
484,27,1,18,21208
485,44,0,3,95821
486,39,1,3,93101
487,22,1,4,92121
488,48,1,19,21012
490,29,0,1,V5A2B
491,43,0,20,53711
492,57,1,3,94618
493,22,1,4,60090
494,38,0,0,49428
495,29,1,4,03052
496,21,0,18,55414
498,26,1,20,55408
499,42,1,14,75006
501,22,1,18,10025
506,46,1,14,03869
508,27,1,11,19382
509,23,1,0,10011
510,34,1,13,98038
511,22,1,18,21250
512,29,1,13,20090
513,43,1,0,26241
514,27,1,14,20707
515,53,1,11,49508
516,53,0,10,10021
518,49,0,20,99709
519,22,1,13,55320
522,36,1,4,55443
524,56,1,3,02159
526,30,1,11,97124
527,33,1,10,12180
531,30,0,16,97408
534,20,1,18,05464
535,45,0,3,80302
536,38,1,4,30078
537,36,1,4,22902
538,31,1,17,21010
539,53,0,0,80303
540,28,1,4,91201
541,19,0,18,84302
543,33,1,17,95123
545,27,1,19,08052
547,50,1,3,14534
548,51,1,20,95468
549,42,1,17,45680
551,25,1,14,55414
552,45,1,13,68147
555,29,0,3,23227
556,35,0,3,30606
557,30,0,20,11217
558,56,0,20,63132
559,69,1,6,10022
560,32,1,18,10003
561,23,1,4,60005
563,39,0,10,32707
564,65,1,15,94591
566,20,1,18,14627
568,39,1,3,01915
569,34,1,3,91903
570,26,1,3,14627
571,34,1,1,01945
572,51,1,3,20003
573,68,1,15,48911
574,56,1,3,53188
575,33,1,11,46032
576,48,1,6,98281
577,36,0,18,77845
578,31,1,0,M7A1A
579,32,1,3,48103
580,16,1,18,17961
582,17,1,18,93003
583,44,1,4,29631
584,25,1,18,27511
585,69,1,10,98501
587,26,1,13,14216
588,18,0,18,93063
589,21,1,9,90034
590,50,1,3,82435
592,18,1,18,97520
593,31,0,3,68767
594,46,1,3,M4J2K
595,25,1,14,31909
597,23,1,13,84116
598,40,0,11,43085
599,22,0,18,R3T5K
600,34,1,14,02320
601,19,0,1,99687
602,47,0,13,34656
603,21,1,14,47905
604,39,1,3,11787
605,33,1,4,33716
606,28,1,14,63044
607,49,0,7,02154
608,22,1,13,10003
609,13,0,18,55106
610,22,1,18,21227
611,46,1,10,77008
612,36,1,3,79070
613,37,0,11,29678
615,38,1,3,27705
616,55,1,17,50613
617,27,0,20,11201
619,17,1,18,44134
620,18,0,20,81648
622,25,1,14,14850
623,50,0,3,60187
624,19,1,18,30067
625,27,1,14,20723
626,23,1,17,19807
627,24,1,4,08034
628,13,1,12,94306
629,46,0,13,44224
630,26,0,7,55408
631,18,0,18,38866
632,18,1,18,55454
633,35,1,14,55414
636,47,1,3,48043
638,45,1,4,01940
639,42,0,10,12065
641,24,1,18,60626
642,18,0,18,95521
644,51,1,15,63645
645,27,1,14,53211
646,17,0,18,51250
647,40,1,3,45810
648,43,1,4,91351
650,42,1,4,83814
651,65,1,15,02903
652,35,1,13,22911
653,31,1,6,55105
655,50,0,7,60657
656,48,1,3,10314
657,26,0,12,78704
658,33,1,14,92626
659,31,1,3,54248
661,28,1,14,98121
663,26,1,13,19341
664,30,1,4,94115
665,25,1,0,55412
667,35,1,10,01970
668,29,0,20,10016
669,37,1,13,20009
670,30,1,19,21114
671,21,1,14,91919
672,54,0,0,90095
673,51,1,3,22906
676,30,1,14,32712
677,20,1,13,99835
678,50,1,3,61462
679,20,0,18,54302
680,33,1,9,90405
681,44,0,11,97208
682,23,1,14,55128
683,42,1,10,23509
684,28,1,18,55414
685,32,0,10,55409
686,32,1,3,26506
687,31,0,7,27713
688,37,0,0,60476
690,35,1,16,63304
691,34,1,3,60089
692,34,1,4,18053
693,43,0,7,85210
694,60,1,14,06365
695,26,1,20,38115
696,55,1,13,94920
697,25,1,13,77042
698,28,0,14,06906
699,44,1,13,96754
700,17,1,18,76309
703,26,1,3,49512
704,51,0,10,91105
705,21,0,18,54494
706,23,1,18,55454
707,56,0,10,19146
709,21,1,13,N4T1A
710,19,1,18,92020
711,22,0,18,15203
712,22,0,18,54901
714,26,1,4,55343
715,21,1,19,91206
716,36,0,0,44265
717,24,1,19,84105
718,42,1,19,64118
719,37,0,13,V0R2H
720,49,0,0,16506
721,24,0,5,11238
722,50,0,8,17331
723,26,1,6,94403
724,31,1,6,40243
725,21,1,18,91711
727,25,1,18,78741
728,58,1,6,94306
729,19,1,18,56567
730,31,0,17,32114
731,41,0,3,70403
732,28,0,13,98405
733,44,0,13,60630
734,25,0,13,63108
736,48,0,20,94618
737,30,1,14,98072
738,35,1,19,95403
740,25,0,3,22206
741,25,1,20,63108
742,35,1,18,29210
743,31,1,14,92660
744,35,1,11,47024
746,25,1,4,19047
747,19,1,13,93612
748,28,1,0,94720
749,33,1,13,80919
750,28,1,0,32303
753,56,1,16,91206
755,44,0,3,97007
756,30,0,12,90247
757,26,1,18,55104
758,27,1,18,53706
759,20,0,18,68503
761,17,1,18,97302
762,32,1,0,95050
763,27,1,17,02113
764,27,0,3,62903
765,31,1,18,33066
766,42,1,13,10960
767,70,1,4,00000
768,29,1,0,12866
769,39,1,6,06927
770,28,1,18,14216
771,26,1,18,15232
773,20,1,18,55414
774,30,1,18,80027
776,30,1,10,51157
779,31,1,18,K7L5J
780,49,1,14,94560
781,20,1,18,48825
782,21,0,1,33205
783,30,1,11,77081
784,47,1,0,91040
785,32,1,4,23322
788,51,1,0,05779
789,29,1,13,55420
790,27,1,19,80913
791,31,1,3,20064
792,40,1,14,12205
793,22,1,18,85281
794,32,1,3,57197
795,30,1,14,08610
796,32,0,20,33755
797,44,0,13,62522
798,40,0,20,64131
799,49,0,0,19716
800,25,1,14,55337
801,22,1,20,92154
802,35,1,0,34105
803,70,1,0,78212
804,39,1,3,61820
805,27,0,13,20009
806,27,1,11,11217
807,41,0,7,93555
808,45,1,16,90016
813,14,0,18,02136
815,32,1,13,28806
819,59,1,0,40205
821,37,1,4,77845
822,29,0,10,53144
823,27,1,1,50322
824,31,1,13,15017
826,28,1,1,77048
827,23,0,4,80228
828,28,1,10,85282
829,48,1,20,80209
830,46,1,14,53066
831,21,1,13,33765
833,34,1,20,90019
834,26,1,13,64153
835,44,0,6,11577
836,44,1,1,10018
837,36,0,1,55409
838,23,1,18,01375
839,38,0,5,90814
840,39,1,1,55406
843,35,1,10,44212
844,22,1,4,95662
847,29,1,18,55417
848,46,1,4,02146
849,15,0,18,25652
850,34,1,19,78390
851,18,1,13,29646
852,46,1,0,94086
853,49,1,20,40515
854,29,0,18,55408
855,53,1,10,04988
856,43,0,11,97215
857,35,0,0,V1G4L
858,63,1,3,09645
859,18,0,13,06492
860,70,0,15,48322
862,25,1,6,13820
863,17,1,18,60089
864,27,1,14,63021
865,25,1,1,11231
866,45,1,13,60302
867,24,1,17,92507
868,21,1,14,55303
869,30,1,18,10025
870,22,1,18,65203
873,48,0,0,33763
874,36,1,17,37076
875,24,0,18,35802
877,30,1,13,77504
878,50,0,3,98027
880,13,1,18,83702
881,39,1,11,43017
883,49,1,10,50266
884,44,1,4,55337
885,30,0,13,95316
886,20,1,18,61820
887,14,0,18,27249
888,41,1,17,17036
889,24,1,19,78704
891,51,0,0,03062
893,25,1,18,95823
894,47,1,3,74075
895,31,0,10,32301
896,28,1,20,91505
898,23,1,8,61755
899,32,1,13,55116
900,60,1,15,18505
902,45,0,1,97203
903,28,1,3,20850
904,17,0,18,61073
905,27,1,13,30350
906,45,1,10,70124
907,25,0,13,80526
909,50,0,3,53171
910,28,1,7,29301
912,51,1,13,06512
914,44,0,13,08105
916,27,1,4,N2L5N
918,40,1,17,70116
919,25,1,13,14216
920,30,0,1,90008
921,20,0,18,98801
922,29,0,0,21114
923,21,1,18,E2E3R
924,29,1,13,11753
925,18,0,16,49036
926,49,1,5,01701
927,23,1,14,55428
928,21,1,18,55408
929,44,1,17,53711
930,28,0,17,07310
931,60,1,3,33556
932,58,1,3,06437
934,61,1,4,22902
935,42,1,2,66221
936,24,1,13,32789
937,48,1,3,98072
938,38,0,19,55038
940,32,1,0,02215
941,20,1,18,97229
942,48,0,10,78209
943,22,1,18,77841
